花の名前,花言葉
ダチュラ,「愛嬌」「偽りの魅力」
ダリア,「華麗」「優雅」「気品」「移り気」「不安定」
タンジー,「あなたとの戦いを宣言する」「抵抗」「婦人の美徳」
タンポポ,「愛の神託」「神託」「真心の愛」「別離」
チューベローズ,「危険な快楽」
チューリップ,「思いやり」
チューリップ（赤）,「愛の告白」
チューリップ（白）,「失われた愛」
チューリップ（ピンク）,「愛の芽生え」「誠実な愛」
チューリップ（黄）,「のぞみのない恋」「名声」
チューリップ（紫）,「不滅の愛」
ツキミソウ,「無言の愛情」「移り気」
ツクシ,「向上心」「意外」「驚き」
ツクシキケマン,「寂しさに耐える」「祈りある生活」
ツツジ,「節度」「慎み」
ツツジ（赤）,「恋の喜び」
ツツジ（白）,「初恋」
ツバキ,「控えめな優しさ」「誇り」
ツバキ（赤）,「控えめな素晴らしさ」「気取らない優美さ」「謙虚な美徳」
ツバキ（白）,「完全なる美しさ」「申し分のない魅力」「至上の愛らしさ」
ツバキ（ピンク）,「控えめな美」「控えめな愛」「慎み深い」
ツユクサ,「なつかしい関係」
ツルニチニチソウ,「楽しき思い出」「幼馴染」
ツワブキ,「謙譲」「困難に負けない」
ツンベルギア,「黒い瞳」「美しい瞳」
デイジー,「純潔」「美人」「平和」「希望」
デイジー（赤）,「無意識」
デイジー（白）,「無邪気」
ディモルフォセカ,「富」「豊富」
デルフィニウム,「清明(万物が清らかで生き生きとした様子)」
デンドロビウム,「わがままな美人」
デンファレ,「わがままな美人」「お似合いのふたり」「魅惑」「有能」
ドウダンツツジ,「上品」「節制」
トウワタ,「私を行かせて」「心変わり」
トウダイグサ,「ひかえめ」「地味」
ドクダミ,「野生」「白い追憶」
トケイソウ,「聖なる愛」「信仰」「宗教的熱情」
トサミズキ,「清楚」「優雅」「伝言」
ドラセナ,「幸福」
ドラセナ・フラグランス,「幸福」「隠しきれない幸せ」
ドラセナ・コンシンネ,「真実さ」
ドラセナ・サンデリアーナ,「開運」「長寿」
トリカブト,「騎士道」「栄光」「人嫌い」「厭世家」「復讐」
トリトマ,「恋するつらさ」「あなたを思うと胸が痛む」
トルコキキョウ,「すがすがしい美しさ」「優美」「希望」
トレニア,「ひらめき」「愛嬌」
ナシ,「愛情」
ナシの木,「慰め」「癒やし」
ナスタチウム,「愛国心」「勝利」「困難に打ち勝つ」
ナズナ,「あなたに私のすべてを捧げます」
ナツツバキ,「はかない美しさ」「愛らしさ」
ナデシコ,「大胆」「純愛」「貞節」
ナデシコ（赤）,「純粋で燃えるような愛」
ナデシコ（白）,「器用」「才能」
ナデシコ（ピンク）,「純粋な愛」
ナナカマド,「慎重」
ナノハナ,「快活」「明るさ」
ナンテン,「私の愛は増すばかり」「良い家庭」
ニゲラ,「当惑」「ひそかな喜び」
ニチニチソウ,「楽しい思い出」
ニッコウキスゲ,「日々あらたに」「心安らぐ人」
ニリンソウ,「友情」「協力」「ずっと離れない」
ネコヤナギ,「努力が報われる」
ネジバナ,「思慕（思い慕うこと。恋しく思うこと）」
ネムノキ,「歓喜」「胸のときめき」
ネモフィラ,「どこでも成功」「可憐」「あなたを許す」
ネリネ,「また会う日を楽しみに」「忍耐」「箱入り娘」
ノウゼンカズラ,「名声」「名誉」
ノコギリソウ,「戦い」「勇敢」「治癒」
ノースポール,「誠実」「冬の足音」「高潔」
バイカウツギ,「回想」「気品」
パイナップル,「あなたは完全です」
ハイビスカス,「繊細な美」「新しい恋」
ハイビスカス（赤）,「常に新しい美」「勇敢」
ハイビスカス（白）,「艶美」
バイモ,「謙虚な心」「才能」
ハギ,「思案」「内気」「柔軟な精神」
パキラ,「快活」「勝利」
ハゲイトウ,「不老不死」
ハコベ,「ランデブー」「愛らしい」
ハゴロモジャスミン,「愛嬌」「気立ての良さ」
ハス,「清らかな心」「神聖」「離れゆく愛」「雄弁」
ハナカイドウ,「温和」「美人の眠り」「艶麗」
ハナキリン,「早くキスして」「逆境に耐える」
ハナショウブ,「うれしい知らせ」「優しい心」「優雅」
ハナズオウ,「裏切り」「不信仰」
ハナトラノオ,「望みの成就」「達成」「希望」
ハナニラ,「耐える愛」「悲しい別れ」「卑劣」「恨み」
ハナビシソウ,「富」「成功」「私を拒絶しないで」
ハナミズキ,「永続性」「返礼」「私の想いを受けてください」
バーベナ,「魔力」「魅力」
バーベナ（赤）,「団結」
バーベナ（白）,「私のために祈ってください」
バーベナ（ピンク）,「家族の和合」
バーベナ（紫）,「私はあなたに同情します」「後悔」
ハボタン,「祝福」「物事に動じない」「利益」
ハマナス,「悲しくそして美しく」
ハマユウ,「どこか遠くへ」「汚れのない」
バラ,「愛」「美」
バラ（赤）,「あなたを愛してます」「愛情」「美」「情熱」「熱烈な恋」
バラ（白）,「純潔」「私はあなたにふさわしい」「深い尊敬」
バラ（ピンク）,「しとやか」「上品」「感銘」
バラ（青）,「夢かなう」「不可能」「奇跡」「神の祝福」
バラ（黄）,「愛情の薄らぎ」「嫉妬」「友情」
バラ（赤いつぼみ）,「純粋と愛らしさ」「純粋な愛に染まる」
バラ（白いつぼみ）,「恋をするには若すぎる」「少女時代」
バラ（トゲ）,「不幸中の幸い」
ハルジオン,「追想の愛」
ハルシャギク,「いつも陽気」「一目惚れ」
パンジー,「もの思い」「私を思って」
パンジー(白),「温順（性質がおとなしく、人にさからわないこと）」
パンジー（黄）,「つつましい幸せ」「田園の喜び」
パンジー（紫）,「思慮深い」
ヒイラギ,「用心深さ」「先見の明」「保護」
ビオラ,「誠実」「信頼」「忠実」「少女の恋」
ヒガンバナ,「悲しき思い出」「あきらめ」「独立」「情熱」
ヒソップ,「清潔」「浄化」
ヒペリカム,「きらめき」「悲しみは続かない」
ヒマラヤユキノシタ,「秘めた感情」「順応」
ヒマワリ,「私はあなただけを見つめる」「愛慕」「崇拝」
ヒメジョオン,「素朴で清楚」
ヒメウズ,「不変」「ずっと待ってます」
ヒメオドリコソウ,「愛嬌」「陽気」
ヒメユリ,「誇り」
ヒヤシンス,「スポーツ」「ゲーム」「遊び」「悲しみを超えた愛」
ヒヤシンス（赤）,「嫉妬」
ヒヤシンス（青）,「変わらぬ愛」
ヒヤシンス（白）,「控えめな愛らしさ」「心静かな愛」
ヒヤシンス（紫）,「悲しみ」「悲哀」「初恋のひたむきさ」
ヒヤシンス（ピンク）,「スポーツ」「ゲーム」「しとやかなかわいらしさ」
ヒヤシンス（黄）,「あなたとなら幸せ」「勝負」
ビヨウヤナギ,「気高さ」「多感」
ピラカンサ,「燃ゆる想い」「美しさはあなたの魅力」「防衛」
ヒルガオ,「絆」「友達のよしみ」「情事」
ビワ,「治癒」「あなたに打ち明ける」「密かな告白」
フウセンカズラ,「一緒に飛びたい」
フェイジョア,「情熱に燃える心」「甘美な思い出」
フクシア,「つつましい愛」「信じる愛」
フクシア（緋色）,「好み」
フクジュソウ,「幸せを招く」「永久の幸福」「悲しき思い出」
ブーゲンビリア,「情熱」「あなたは魅力に満ちている」「あなたしか見えない」
フジ,「優しさ」「歓迎」「決して離れない」「恋に酔う」
フジバカマ,「ためらい」「遅れ」
フッキソウ,「良き門出」「吉事」
ブッドレア,「恋の予感」「あなたを慕う」
ブドウ,「陶酔」「忘却」「思いやり」「慈善」
ブバルディア,「交流」「親交」「情熱」
フヨウ,「繊細な美」「しとやかな恋人」
ブライダルベール,「幸福」「願い続ける」
ブラシノキ,「恋の炎」「はかない恋」
プラタナス,「天才」「好奇心」
フリージア,「あどけなさ」「純潔」「親愛の情」
フリージア（赤）,「純潔」
フリージア（白）,「あどけなさ」
フリージア（黄）,「無邪気」
フリージア（紫）,「憧れ」
プリムラ,「青春のはじまりと悲しみ」「青春の恋」
プリムラ（赤）,「美の秘密」「後援のない功績」
プリムラ（紫）,「信頼」
プリムラ・シネンシス,「永遠の愛情」
プリムラ・ポリアンサ,「富の誇り」「無言の愛」
プリムラ・オブコニカ,「しとやかな人」「青春の美しさ」
プリムラ・ジュリアン,「青春の喜びと悲しみ」
プリムラ・マラコイデス,「素朴」「気取らない愛」「運命を開く」
ブルースター,「幸福な愛」「信じあう心」
ブルーデイジー,「恵まれている」「幸福」「協力」
ブルーベリー,「実りのある人生」「知性」
ブルーベル,「謙遜」「変わらぬ心」
プルメリア,「気品」「恵まれた人」「日だまり」「内気な乙女」
フロックス,「合意」「一致」
ヘクソカズラ,「人嫌い」「誤解を解きたい」「意外性のある」
ベゴニア,「片想い」「愛の告白」「親切」「幸福な日々」
ベゴニア（赤）,「公平」
ベゴニア（白）,「親切」
ペチュニア,「あなたと一緒なら心がやわらぐ」「心のやすらぎ」
ベニバナ,「化粧」「装い」「包容力」
べラルゴニウム,「あでやかな装い」「篤い信仰」
ヘリオトロープ,「献身的な愛」「夢中」「熱望」
ヘリクリサム,「永遠の思い出」「いつまでも続く喜び」
ヘリコニア,「注目」「風変わりな人」
ベルフラワー,「感謝」「誠実」「楽しいおしゃべり」
ヘレニウム,「涙」「上機嫌」
ベロニカ,「忠実」「名誉」
ベンジャミン,「融通の聞く仲間」「信頼」
ペンステモン,「あなたに見とれています」
ペンタス,「希望が叶う」「願い事」
ポインセチア,「祝福」「幸運を祈る」「私の心は燃えている」「清純」
ホウセンカ,「私に触れないで」「短期」
ホオズキ,「偽り」「ごまかし」
ボケ,「平凡」「早熟」
ボダイジュ,「夫婦愛」「結婚」
ホタルブクロ,「忠実」「正義」
ボタン,「風格」「富貴」「恥じらい」「人見知り」
ボタンイチゲ,「はかない恋」「恋の苦しみ」「見捨てられた」「見放された」
ポーチェラカ,「いつも元気」
ホテイアオイ,「揺れる心」「恋の悲しみ」
ホトケノザ,「調和」「輝く心」
ポトス,「長い幸」「永遠の富」「華やかな明るさ」
ホトトギス,「永遠にあなたのもの」「秘めた意志」
ポピー,「いたわり」「思いやり」「恋の予感」「陽気で優しい」
ポピー（赤）,「慰め」「感謝」
ポピー（白）,「眠り」「忘却」
ホワイトレースフラワー,「可憐な心」「細やかな愛情」「感謝」
マーガレット,「恋占い」「真実の愛」「信頼」
マツ,「不老長寿」「哀れみ」「同情」
マツバギク,「怠惰」「怠け者」「勲功」
マツバボタン,「無邪気」「可憐」
マツヨイグサ,「浴後の美人」「気まぐれ」
マトリカリア,「鎮静」「集う喜び」
マネッチア,「たくさん話しましょう」
マリーゴールド,「嫉妬」「絶望」「悲しみ」
マリーゴールド（黃）,「健康」
マリーゴールド（オレンジ）,「予言」
マンサク,「呪文」「魔力」「霊感」「ひらめき」
ミズバショウ,「美しい思い出」
ミスミソウ,「自身」「はにかみ屋」
ミセバヤ,「大切なあなた」「慎ましさ」
ミソハギ,「切ないほどの愛」「愛の悲しみ」「慈悲」
ミツバツツジ,「節制」「抑制の効いた生活」
ミツマタ,「強靭」「肉親の絆」
ミニバラ,「特別な功績」「果てしなき愛」
ミモザ,「秘密の恋」「友情」
ミヤコワスレ,「しばしの慰め」「別れ」
ミント,「美徳」「効能」
ムクゲ,「信念」「新しい美」
ムシトリナデシコ,「罠」「未練」
ムシトリナデシコ（赤）,「青春の恋」
ムシトリナデシコ（白）,「裏切り」
ムスカリ,「失望」「失意」
ムラサキケマン,「喜び」「あなたの助けになる」
ムラサキシキブ,「聡明」「上品」「愛され上手」
ムラサキツユクサ,「尊敬しているが恋愛ではない」
モクレン,「自然への愛」「崇高」「持続性」
モミジアオイ,「温和」「穏やかさ」
モモ,「私はあなたのとりこ」「天下無敵」「気立ての良さ」
モンステラ,「うれしい便り」「壮大な計画」「深い関係」
モントブレチア,「謙譲の美」「陽気」
ヤグルマギク,「繊細」「優美」「教育」「信頼」
ヤツデ,「健康」「分別」「親しみ」
ヤドリギ,「私にキスして」「困難に打ち克つ」
ヤナギ,「従順」「自由」
ヤブラン,「隠された心」「忍耐」
ヤマブキ,「気品」「崇高」「金運」
ヤマボウシ,「友情」
ユウガオ,「夜」「はかない恋」「罪」
ユウゼンギク,「後知恵」「老いても元気で」
ユーカリ,「新生」「再生」「思い出」
ユキノシタ,「深い愛情」
ユキヤナギ,「愛らしさ」「気まま」「殊勝」
ユキワリソウ,「自信」「はにかみ屋」
ユズ,「健康美」「汚れなき人」「恋のため息」
ユッカ,「颯爽とした」「勇壮」
ユリ,「純潔」「無垢」「威厳」
ユリ（白）,「純潔」「威厳」
ユリ（赤・ピンク）,「虚栄心」
ユリ（黄）,「偽り」「陽気」
ユリ（オレンジ）,「華麗」「愉快」「軽率」
ユリ（カサブランカ）,「威厳」「純潔」「高貴」
ユリ（ヤマユリ）,「荘厳」
ユリ（テッポウユリ）,「純潔」「甘美」「威厳」
ユリ（オニユリ）,「賢者」「富と誇り」
ユリ（ササユリ）,「清浄」「上品」
ユリ（クルマユリ）,「純潔」「多才な人」
ユリ（カノコユリ）,「慈悲深さ」「上品」
ユリ（スカシユリ）,「注目を浴びる」「飾らぬ美」
ユリ（ヒメユリ）,「誇り」
ユリオプスデージー,「円満な関係」「夫婦円満」「明るい愛」
ライラック,「思い出」「友情」「謙虚」
ライラック（白）,「青春の喜び」「無邪気」
ライラック（紫）,「恋の芽生え」「初恋」
ラッパスイセン,「尊敬」「報われぬ恋」
ラークスパー,「陽気」「快活」
ラナンキュラス,「とても魅力的」「晴れやかな魅力」「光輝を放つ」
ラベンダー,「沈黙」「私に答えてください」「期待」「不信感」「疑惑」
ラン,「美しい淑女」「優雅」
ランタナ,「心変わり」「合意」「協力」「厳格」
リアトリス,「燃える思い」「向上心」「長すぎた恋愛」
リナリア,「この恋に気づいて」
リンゴ,「優先」「好み」「選択」
リンゴ（実）,「誘惑」「後悔」
リンゴ（木）,「名誉」
リンドウ,「悲しんでいるあなたを愛する」「正義」「誠実」
ルコウソウ,「繊細な愛」「おせっかい」「でしゃばり」
ルドベキア,「正義」「公平」「あなたを見つめる」
ルピナス,「想像力」「いつも幸せ」「貪欲」「あなたは私の安らぎ」
ルリタマアザミ,「鋭敏」「傷つく心」
レモン（花）,「誠実な愛」「思慮分別」
レモン（実）,「熱情」
レンギョウ,「期待」「希望」「集中力」
レンゲソウ,「あなたと一緒なら苦痛がやわらぐ」「心がやわらぐ」
レンゲツツジ,「情熱」「堅実」
ロウバイ,「ゆかしさ」「慈しみ」「先導」「先見」
ローダンセ,「変わらぬ思い」「終わりのない友情」
ロベリア,「悪意」「謙遜」
ロベリア・カーディナリス,「卓越」「優秀さ」
ワイルド・ストロベリー,「尊重と愛情」「幸福な家庭」「無邪気」
ワスレナグサ,「真実の愛」「私を忘れないで」
ワレモコウ,「変化」「物思い」「愛慕」
